2016-10-31	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99
DRR000897	7.55868	10.472	-16.2302	13.8336	-1.07184	4.08087	3.76272	2.07876	-1.65638	-1.39329	6.84454	-2.2852	-2.56147	0.766496	0.669562	0.709834	1.27564	-1.54704	-0.0279035	-2.15007	0.383949	1.60203	0.106542	0.77882	0.170976	-0.270405	0.275368	0.336056	0.530105	0.277382	0.313989	-0.163615	-0.194652	0.117123	-0.0935061	0.146731	-0.0363943	0.0241545	0.0827098	0.119669	-0.0491812	0.0480494	0.0501454	-0.0665205	-0.0133567	0.0419905	-0.00672418	0.00237387	-0.00799634	-0.00300424	2.74628e-05	-6.86338e-06	-4.8615e-07	-2.23517e-07	-2.08337e-06	1.5893e-06	-8.00565e-06	2.38238e-06	3.05474e-06	4.50341e-06	1.56835e-06	-2.21282e-06	7.4869e-06	7.40122e-06	1.87033e-06	1.88744e-06	9.22009e-08	1.74646e-06	-3.47383e-06	4.40632e-08	1.16415e-07	-3.22238e-07	7.69401e-06	1.8704e-06	1.11223e-06	-3.04915e-06	-3.17884e-06	-6.02496e-06	-5.84871e-06	-7.23661e-06	8.10309e-07	-1.0618e-05	1.43424e-06	7.40122e-06	2.00327e-06	-2.70084e-06	2.11596e-06	4.70504e-06	-1.43331e-06	-1.76812e-06	-6.11879e-07	-2.77534e-07	-6.78003e-07	-3.30806e-06	1.44541e-06	1.84029e-05	-9.80124e-06	6.55651e-06	1.56667e-05
DRR001173	3.30556	4.44833	14.2179	7.89336	20.9985	-3.31769	1.73373	-3.92473	-3.08818	-0.0694187	-0.936894	-0.138032	-0.211327	1.17318	-2.37012	0.696683	0.162562	0.686173	-0.51404	-0.760121	-0.264952	-0.0570866	0.474657	-0.00355144	-0.146965	-0.129556	-0.308872	0.416451	-0.0291929	0.226968	-0.237576	-0.125437	0.0541368	0.0972918	0.004563	-0.10525	-0.06628	-0.00636863	0.0177239	-0.0124749	0.0426919	0.0119617	0.0155358	-0.0121883	-0.0101592	-0.00078927	-0.00331048	0.00639287	-0.00767391	-0.000360727	1.43796e-05	-9.6485e-07	-3.1665e-07	-2.36928e-06	-6.66827e-07	-1.72667e-06	-6.10948e-07	-1.29873e-06	-2.41399e-06	-2.40095e-06	3.05101e-06	2.25194e-06	-1.07661e-06	2.81632e-06	2.99886e-06	-2.56347e-07	-4.3828e-06	-4.70318e-07	-5.12972e-06	2.84682e-06	-5.88596e-07	-1.18837e-06	-3.49991e-06	-1.74795e-06	-3.82354e-06	4.97326e-07	-3.06033e-06	4.56162e-06	1.98744e-06	1.44355e-06	1.36904e-06	2.37068e-06	-2.19047e-06	-4.5877e-06	-4.59142e-06	2.36928e-06	-2.57976e-07	6.14673e-07	5.28991e-07	1.27102e-06	-5.20423e-06	2.44007e-06	-8.64267e-07	-3.53158e-06	-1.22935e-06	5.1558e-06	3.8445e-06	3.03984e-06	-3.45707e-06
DRR001174	-3.31222	16.405	-11.0407	-4.7875	-0.0369075	-8.45562	4.80274	-2.96139	-0.2627	-0.405701	-0.0730625	-3.17872	-0.099657	0.531333	-1.01296	-0.564765	-1.36196	0.277032	-2.26309	0.644203	1.12938	0.793307	-1.035	-1.37763	0.465304	-0.112312	0.564531	-1.50495	0.637133	-0.630279	1.20064	-0.0246811	0.046323	-0.322925	0.258101	0.051083	0.182257	-0.273399	0.00163008	-0.0239153	0.00751325	-0.0560992	0.00049961	-0.0235987	0.0102737	0.0058613	-0.00327458	0.00926055	-0.00302138	0.00027905	-6.14673e-06	-2.57884e-05	-1.60625e-05	4.56022e-06	1.4588e-06	-1.3418e-06	-1.71084e-06	4.71949e-06	3.80143e-06	-3.67349e-06	6.20377e-07	-2.15834e-07	1.65473e-06	-9.31323e-10	-4.05707e-08	4.08788e-06	-2.03913e-06	-5.07542e-07	1.24448e-06	-1.26356e-06	8.44779e-06	-6.9919e-07	4.80143e-06	2.91462e-06	5.84015e-06	-8.70903e-07	-1.7538e-07	1.3613e-06	-1.68942e-06	1.31328e-06	1.0345e-07	-4.99439e-06	-6.40668e-06	-2.03028e-06	-2.68349e-06	-7.88458e-06	-2.76929e-06	7.25267e-07	-1.78581e-07	-5.47797e-06	-6.0047e-07	-9.03849e-06	6.6869e-06	4.75626e-06	6.72974e-06	-1.00397e-05	-3.83332e-06	-6.28829e-06	-1.15726e-05
DRR001175	-59.003	43.421	43.9878	6.5756	-3.10334	0.481091	-1.59638	2.1439	0.270346	0.181437	0.747397	-1.4819	0.26664	-0.492675	0.654798	-0.748594	0.54236	-0.363817	0.268376	0.399176	-0.123973	0.326642	0.0312257	-0.162885	0.0514176	-0.0748957	0.197762	-0.273408	0.0138875	-0.212107	0.0516303	0.0968744	0.0115125	-0.0754639	-0.013673	0.0260482	0.0328663	0.00554773	-0.0027317	0.0238347	-0.0215097	0.0120159	0.00307246	-0.010087	-0.00216708	-0.000928909	0.00272692	-0.00393339	0.000400364	-0.000952691	-8.40425e-06	-1.18054e-05	-4.38392e-05	-1.16527e-05	8.9407e-08	2.84985e-06	-5.1856e-06	1.74828e-05	-1.77771e-05	-8.48994e-06	2.63527e-05	3.0309e-05	-1.71959e-05	5.55068e-07	1.73841e-05	2.14744e-05	-2.14875e-05	7.0408e-07	-7.83801e-06	-1.89948e-05	1.0103e-05	-3.91155e-06	-3.09693e-05	1.09143e-05	-1.87252e-05	8.62405e-07	-3.40305e-06	3.12161e-05	2.19271e-05	-1.0049e-05	-1.22758e-05	2.42405e-05	-3.28608e-05	-3.00631e-05	-2.98917e-05	1.21593e-05	5.52461e-06	-9.90927e-06	1.48639e-05	-1.51666e-06	-2.07424e-05	-9.19402e-06	-1.44541e-06	7.77841e-06	7.39098e-06	-3.09944e-06	2.05636e-06	2.80142e-06	-6.10948e-07
DRR001622	16.7066	0.600066	7.3156	-0.601964	-0.864332	-0.0629021	-0.404906	0.771022	-0.455204	-1.28798	-0.260729	-0.558444	0.307537	-0.42508	-0.348419	-0.23975	-1.06254	0.961243	0.538233	0.218348	0.574138	-0.439851	-0.125279	1.02784	0.509219	-1.05451	0.133972	0.446752	-1.48341	0.36841	0.910627	-0.728071	0.76577	-0.0899308	-0.768838	0.689336	-0.281373	-0.498394	-0.181461	0.139477	-0.191425	-0.00912406	-0.0325903	-0.00302365	0.19204	-0.0441963	0.124529	-0.0558489	-0.0494238	0.0106336	2.85991e-05	-9.48017e-06	9.14838e-06	1.64974e-05	3.8296e-06	3.47453e-06	-1.3907e-05	7.72919e-06	2.48011e-06	-2.38069e-06	6.67409e-06	-1.96462e-06	-7.62334e-06	1.06869e-06	2.55415e-06	7.12113e-07	5.6047e-06	-3.17197e-06	2.90526e-06	-5.21389e-06	-2.2077e-06	2.51457e-08	5.32239e-06	-7.04286e-06	2.78233e-08	-2.55334e-06	1.23866e-06	-1.50781e-06	1.15903e-06	-2.81469e-06	1.06875e-06	-1.19308e-06	2.79909e-06	-2.5793e-06	-4.11225e-06	-4.96581e-06	-2.11573e-06	5.10365e-07	2.10619e-06	-9.92179e-06	3.60794e-06	-2.468e-06	-4.03635e-06	1.30106e-05	6.47455e-06	1.65328e-05	-3.42391e-05	2.17594e-05	1.05966e-05
DRR001631	17.6664	0.168071	5.84956	-0.936443	-0.222989	-0.395474	-0.2303	-0.352866	0.892741	-0.443988	-0.000160745	0.31408	0.76013	-0.164978	1.02056	-0.297075	-0.230279	0.294579	0.0131403	0.0144974	-0.0940404	0.259239	-0.337746	0.379268	1.25813	-0.115759	-0.630818	-1.24042	-0.451341	0.329818	0.138298	0.0699091	0.289123	0.103873	-0.803507	-0.0962721	-0.0403925	0.368513	0.0562205	0.0163702	0.310085	0.228187	0.149376	-0.29777	-0.353978	-0.0765197	-0.272384	-0.0686672	0.00702798	0.01373	2.23368e-05	3.5272e-05	3.15085e-05	-1.17403e-05	-6.80704e-06	-7.13766e-06	-8.70787e-06	-1.44043e-05	-5.03287e-06	-1.35973e-07	-1.2367e-05	1.99676e-06	5.00679e-06	-1.67266e-06	5.17396e-06	-3.79398e-07	-7.50087e-06	8.26875e-06	-5.31971e-06	6.30994e-06	-4.99189e-07	-2.08616e-06	-6.33462e-06	-2.58867e-06	-4.631e-06	4.63333e-07	-6.61472e-07	-4.80795e-06	-5.84126e-06	7.08411e-06	-1.54425e-06	-5.17792e-06	8.87644e-06	-4.05684e-06	-1.66893e-06	-2.46614e-06	4.06476e-06	8.77678e-06	-6.42799e-06	1.3609e-06	7.03707e-06	7.52881e-06	1.27032e-06	-7.85291e-06	2.33576e-06	2.98619e-05	-1.90437e-05	-2.70456e-05	0.000115801
DRR001634	15.903	1.13913	6.83633	-0.482797	-0.97533	0.0836529	-0.645576	-0.261592	0.668825	-0.768348	0.595332	0.0882744	0.906878	0.205898	0.863491	0.0765364	0.192983	0.103518	-0.335962	-0.342158	-0.600479	-0.498838	-0.361068	0.757541	0.460625	0.254706	0.458932	0.196475	-0.828981	0.152443	0.213388	-0.0634793	-0.406689	0.330521	0.525744	-0.306761	0.177389	-0.536389	-0.0607466	-0.171499	-0.0800885	-0.0945861	-0.174306	-0.0871719	-0.398521	0.0234773	0.179168	0.233198	-0.115667	0.0956768	-3.52934e-05	-7.68881e-05	2.76491e-05	4.5877e-06	1.79559e-06	-1.63289e-05	-3.9544e-06	-1.75671e-07	-5.13438e-06	2.00071e-05	-4.00655e-06	-1.30124e-05	-8.8755e-06	1.931e-05	1.15205e-05	-1.47712e-05	-5.05522e-06	-9.06549e-06	-9.018e-06	3.23483e-06	-5.28619e-06	1.69771e-05	2.36672e-06	4.96999e-06	1.14532e-05	-1.30718e-05	7.88621e-06	-4.75347e-06	-3.51202e-06	5.24661e-06	6.32578e-06	9.52487e-06	-4.05172e-06	-6.1607e-06	2.51457e-08	1.00154e-05	4.2324e-06	2.07359e-05	-2.13832e-05	-5.7125e-06	4.33996e-07	1.52662e-05	1.58139e-06	-4.26173e-06	1.16229e-05	-3.41237e-06	-3.69139e-05	8.67471e-05	-0.000195138
DRR001637	18.2105	-0.733029	6.21462	-0.11802	-0.196724	-0.314444	-0.145337	-0.256124	-0.0793057	-0.330931	0.327702	-0.35817	0.898934	-0.342109	0.638763	-0.052551	-0.266875	-1.01034	-0.249514	-0.497425	-0.462577	-0.272961	-0.304194	0.287018	1.08499	0.514104	0.219657	-0.422335	-0.4315	0.0805929	-0.32886	1.18563	-0.450398	0.179714	-0.0474295	-0.341561	-0.0156797	-0.372054	0.131989	-0.0565764	0.302836	-0.149807	-0.0555088	0.00127628	0.179703	0.327298	0.110022	-0.278439	-0.0572993	0.00822519	-7.76276e-05	-3.72948e-05	2.99457e-05	-2.53525e-05	-5.0338e-06	-1.99401e-05	-1.38581e-06	-4.10021e-06	-7.12555e-06	-1.77035e-05	2.2226e-06	-9.53767e-06	1.74372e-05	3.71132e-06	4.38606e-06	-2.77418e-07	1.71671e-05	1.95215e-05	1.80304e-06	1.0037e-05	-2.13925e-06	1.1038e-05	-2.80701e-06	-7.68399e-06	1.03381e-05	1.10059e-05	4.6296e-06	-3.42214e-06	1.19843e-05	-1.3079e-05	2.00752e-06	-3.61667e-06	4.11924e-06	1.39344e-05	-1.66446e-05	5.24707e-06	-6.20447e-06	-1.28802e-05	-1.72649e-05	-1.34009e-05	1.84998e-05	-1.4523e-05	2.00551e-05	7.57724e-06	6.18398e-07	3.45856e-05	-4.18872e-05	-4.01661e-05	0.000258535
DRR001623	20.0998	1.55944	7.58346	-2.46377	-3.6879	0.835462	-1.04469	1.69765	-4.22288	0.891512	-1.48525	1.09815	-1.88912	0.345855	-2.31434	-0.30451	-0.860839	-0.417164	1.09815	-0.364297	-2.53802	1.04583	-0.203548	0.465556	-1.09512	-0.599657	0.753425	-0.794536	-0.73496	-0.191795	0.767425	-0.620918	-0.0148339	0.00798151	0.466561	-0.493894	-0.0967759	0.417926	0.31572	-0.0182615	0.158632	-0.149272	0.194735	0.0280979	0.0607851	0.00940596	0.0190914	0.00820102	0.02295	-0.0266765	3.5435e-05	-1.74074e-05	1.3141e-05	-9.29087e-06	-7.28294e-06	5.54463e-06	1.00266e-05	-4.00713e-06	3.63961e-06	-4.4601e-06	-2.6077e-08	-8.53278e-06	3.49246e-06	3.20375e-07	1.97953e-06	-3.13064e-06	2.26498e-06	6.5174e-06	1.68011e-06	8.27713e-08	-2.69897e-06	3.0268e-06	1.80677e-06	-7.31846e-06	1.92877e-06	4.61889e-06	-5.67874e-06	-4.78141e-06	-3.94136e-06	5.69504e-07	1.81003e-06	2.22819e-06	7.00355e-07	-4.24497e-06	-6.95605e-06	-2.31713e-06	5.48689e-06	-1.27032e-06	-4.13507e-07	-5.59015e-06	-4.95836e-06	-7.46548e-06	4.28408e-06	-1.22748e-05	-1.6652e-06	-3.3915e-05	2.24337e-05	-3.53903e-06	3.62284e-05
DRR001626	18.5523	-0.817371	7.3685	-0.714843	-3.23731	1.30063	-0.674954	3.66915	-2.44559	-0.391575	-0.974564	-2.9765	-0.260329	-0.237599	-3.58888	0.929923	-1.00502	0.598711	0.626951	1.19741	2.28453	0.0565811	-0.428326	-0.0537184	-0.0904006	-0.134549	-1.09384	-0.0376579	0.331536	1.16657	-0.592594	-0.114073	-0.263229	0.134811	-0.0217959	0.0152598	0.584379	0.150688	0.310781	-0.350812	-0.317242	0.0315687	-0.0134084	0.103124	-0.0584579	0.0925831	-0.0198434	-0.0226336	-0.00187567	0.00739577	-2.7433e-05	-3.01396e-05	1.48481e-05	-1.63447e-07	2.5992e-06	5.86244e-06	-2.26218e-06	-4.01166e-06	-3.98816e-06	-3.68094e-06	-3.18687e-06	-7.68225e-06	1.85915e-06	4.03449e-06	-1.02428e-06	-6.00766e-06	4.19933e-06	-1.9008e-06	-1.64448e-06	3.85499e-06	-5.34067e-06	2.84635e-06	-1.71829e-07	-2.90987e-06	-3.83588e-08	-2.28651e-06	-9.11357e-07	-2.66649e-07	-2.26684e-06	-7.43079e-07	2.28181e-06	2.80997e-06	1.42015e-06	3.2112e-06	-2.56463e-07	4.20958e-06	2.8545e-07	-8.74745e-07	2.66382e-06	-1.91659e-06	9.75584e-06	3.90131e-06	4.49643e-06	6.23148e-06	-7.84174e-06	4.59328e-06	1.91443e-05	-1.90437e-05	-6.31753e-05
DRR001632	17.3688	0.569115	5.83314	-0.950375	-0.208293	-0.393247	-0.40652	-0.698951	0.927595	0.388057	0.179467	0.576966	0.537756	-0.137804	1.12822	-0.219783	0.616949	0.0180129	-0.368368	-0.200831	0.0723973	-0.10599	-0.0476498	-0.308502	0.439166	0.556467	-0.268709	-0.325641	0.0137512	-0.442178	-0.0371824	0.380774	0.0691716	0.323374	-0.297512	-0.0840181	-0.0113745	0.211059	0.172709	-0.078849	-0.20483	0.233342	0.15766	-0.0217945	0.251206	0.0994826	-0.0237032	0.262877	-0.229473	-0.192666	0.00026843	3.5814e-05	-3.93614e-05	2.0951e-05	-1.41831e-05	-4.13675e-05	4.67151e-06	2.4196e-05	3.66224e-05	-1.62693e-05	-1.84681e-06	-6.97747e-06	6.32741e-06	-6.56676e-06	1.17067e-06	-3.70981e-06	9.00123e-06	-1.36381e-05	-6.35907e-06	-2.17072e-05	7.41892e-06	1.07381e-05	1.04448e-05	2.46572e-06	-4.42797e-06	-9.6499e-06	-1.5097e-05	-1.17207e-05	-1.1825e-05	-5.21913e-06	-6.24568e-06	-5.83078e-06	1.88779e-06	-1.90679e-05	1.34474e-05	4.88013e-06	8.35676e-06	-5.0161e-06	-8.86619e-07	3.62587e-06	-1.98204e-05	1.6138e-05	-3.42727e-05	-4.17978e-06	-4.18611e-05	2.37525e-05	0.00010027	0.000154763	-0.000402596
DRR001635	17.2922	1.13463	6.06436	-0.697901	-0.252039	0.0529754	0.110063	-0.574708	0.68687	-0.333732	0.252677	0.729915	-0.0228861	-0.342844	0.243588	-0.122182	0.743702	-0.1715	0.0720309	-0.066468	-0.557412	-0.581607	0.476472	0.354165	-0.200122	0.437653	0.74999	0.23657	-0.136211	0.0423441	0.183948	-0.0618076	0.340214	-0.211942	1.08123	0.77755	0.426783	-0.00608276	-0.0736022	-0.265984	0.0926814	0.694858	-0.162756	-0.0847729	0.0740228	0.0330912	-0.10437	-0.0813541	0.0528329	-0.0127508	-6.89775e-05	2.02376e-05	1.5704e-05	3.02847e-05	1.87941e-06	-4.97326e-06	-4.72926e-06	-1.20457e-05	-4.4331e-07	7.24103e-06	7.79983e-06	8.18819e-06	7.73743e-06	-1.08555e-05	2.65893e-06	8.76142e-07	-3.85754e-06	2.13459e-06	5.804e-06	-5.76838e-06	1.16229e-05	-9.66899e-06	3.48547e-07	-2.89816e-07	3.16184e-07	-5.4948e-07	2.67988e-07	-4.25614e-06	-1.13994e-06	4.01633e-06	1.09221e-06	-5.45848e-06	5.99865e-06	3.18885e-06	5.22938e-06	-9.13441e-06	-4.78048e-06	-7.28667e-06	1.32248e-06	1.03987e-05	9.12696e-08	2.25008e-06	6.77258e-06	1.78479e-05	8.92952e-06	1.66297e-05	-1.21817e-05	-5.6304e-05	8.36626e-05
DRR001638	17.6846	0.788178	6.02107	-0.777416	0.38725	-0.545008	-0.266338	-0.947865	0.993513	-0.0890952	0.347031	0.84128	0.476983	0.2424	1.23515	0.238068	0.352185	-0.22708	-0.474604	-0.512579	-0.403568	-0.210154	-0.0121468	-0.315572	0.452456	0.447718	-0.179938	-0.0308745	0.174365	-0.674143	0.000777297	0.511223	-0.263236	0.393102	0.0763949	0.194521	0.175317	0.308117	0.129051	-0.184479	-0.555568	-0.103236	0.319057	-0.199487	0.0608096	-0.332036	0.221428	-0.119077	0.116941	0.0577686	-0.000146329	-4.47277e-05	4.19915e-05	7.13021e-06	7.21961e-06	3.90569e-05	-1.68532e-05	-1.0821e-05	-1.63149e-05	9.44547e-06	6.73719e-06	-5.4054e-06	-1.09244e-05	5.33462e-06	4.19701e-06	1.46893e-06	-3.14228e-06	9.06619e-06	1.16844e-05	5.53776e-06	-1.01551e-05	-4.08664e-06	-5.66361e-06	-1.24275e-05	-2.15275e-06	1.12425e-05	-1.70595e-06	2.10013e-06	7.92183e-06	-5.97117e-06	8.52335e-06	2.66521e-06	-7.06129e-06	-8.9407e-07	-8.05967e-06	-1.12019e-05	8.51229e-07	8.10064e-06	2.06176e-05	-1.10128e-05	4.61936e-07	-9.68948e-06	7.93487e-06	-2.45869e-06	2.85283e-05	-6.78003e-05	-6.28158e-05	-6.43581e-05	0.000185974
DRR001642	17.2107	0.738638	6.1553	-0.269848	-0.57174	-0.0393607	1.13466	0.0517555	0.816803	-0.197206	0.12543	0.120175	0.0104464	-0.72429	0.408594	-0.0455286	0.110936	-0.729311	-0.0277765	-0.545568	-0.402085	0.31162	0.672929	0.216	0.712418	0.00269936	0.113925	-0.66171	0.291244	0.455199	-0.224957	0.319036	-0.104173	-0.0173767	-0.032013	-0.134576	-0.00759849	-0.488169	0.0946377	0.0874448	0.136361	0.0840579	-0.00925463	0.667441	-0.0153005	-0.374923	-0.0753527	0.0105585	0.0200777	-0.0323204	-8.52048e-05	4.22318e-05	4.32134e-06	3.11695e-05	6.78282e-06	2.39238e-05	-6.93463e-06	1.09273e-05	-2.30037e-06	-9.45292e-07	-1.62981e-06	5.96046e-07	-1.23456e-05	-1.87773e-05	-7.50227e-06	5.16127e-06	-7.74022e-06	-1.09295e-05	9.27784e-06	-6.87665e-06	-3.45521e-06	-5.23962e-06	9.77679e-06	-3.15142e-06	-1.0151e-05	3.29548e-06	2.1758e-06	3.68478e-06	-2.67662e-06	1.1757e-05	8.59774e-06	-1.78628e-06	5.10365e-06	-6.01262e-06	2.11224e-06	-1.14776e-05	6.78003e-07	8.54582e-06	2.25715e-05	1.04612e-05	-1.06692e-05	-2.99886e-06	1.08071e-05	2.60398e-05	-9.96888e-06	-4.79519e-05	6.22645e-05	9.09716e-05	-0.000162527
DRR001624	16.8751	0.668484	7.23231	-0.343963	-3.13943	0.750033	-0.873527	2.0619	-0.89033	-0.0700103	0.345745	-1.71123	0.612397	0.517301	-1.49133	0.420304	-0.368778	0.0249597	-0.315976	-0.124095	2.31035	-0.900589	-0.300704	-0.987476	0.0517704	0.799427	-0.129339	1.91491	-0.299256	-0.82665	0.423961	0.0691203	-0.217647	0.344419	0.199165	-0.706519	-0.496783	0.0742688	-0.24565	0.140714	0.373613	0.185515	0.0469273	-0.0532402	0.0925847	-0.133314	-0.0485725	0.0324452	0.0677218	0.0310503	-3.50662e-05	7.48597e-05	2.26488e-05	3.05548e-05	1.1066e-05	5.06127e-06	-6.71577e-06	-1.35549e-05	1.27591e-07	9.88925e-06	6.10715e-06	3.41516e-06	-5.38304e-06	-5.5274e-06	1.00723e-06	-1.41852e-07	-1.1533e-05	-1.74914e-06	6.97561e-06	8.46456e-07	2.15136e-07	-6.50063e-06	1.74507e-07	-5.95499e-06	2.29082e-06	9.00356e-07	8.37608e-07	-3.37744e-06	6.46198e-06	5.10411e-06	2.67132e-06	-1.97196e-06	4.54392e-06	-8.81124e-06	3.11714e-06	-1.02147e-05	-1.41351e-06	3.12366e-06	1.0578e-05	3.30305e-06	-9.83663e-06	-2.99327e-06	1.1785e-05	1.42585e-05	1.5039e-05	-1.08778e-05	-4.67636e-05	-2.99513e-05	3.52766e-05
DRR001627	21.8439	-0.699473	6.39076	-0.788204	-2.3889	0.406626	0.0542476	0.521796	-3.24995	2.04779	-1.90851	0.00234652	-1.52899	-0.931081	-1.81648	-0.249235	-1.03789	-1.8361	0.685081	0.306947	-1.29637	0.599448	0.00566841	-0.757302	-1.0525	0.0404371	0.324742	0.631525	1.29054	-0.734511	-0.348623	0.933036	0.0148454	-0.000452718	-0.559648	0.717517	0.0482895	-0.328149	-0.378624	0.183385	0.0226444	-0.090178	-0.114439	-0.144896	-0.131575	-0.0270013	-0.0368922	0.0421098	-0.0456656	-0.00420086	7.00951e-05	-2.35438e-06	7.9805e-06	7.49808e-06	1.32667e-06	-6.43684e-06	-6.13742e-06	-1.67207e-06	4.39817e-06	1.59536e-06	-1.02753e-05	-2.61609e-06	1.92784e-06	3.39141e-06	5.60097e-06	-7.27829e-06	3.86173e-06	-1.85089e-06	-7.63964e-06	9.96923e-07	-3.25963e-07	9.80496e-06	3.30422e-06	-4.89301e-07	-3.00235e-06	-6.10738e-06	-2.93192e-06	-4.78793e-06	-5.4799e-06	2.84705e-06	2.04076e-07	-4.72646e-07	4.84008e-06	-3.49432e-06	5.81611e-06	3.66941e-06	1.66008e-07	6.52298e-06	-1.03274e-05	-1.97708e-06	4.69107e-06	1.21687e-05	-7.30157e-06	-1.1161e-05	-1.20718e-05	2.69115e-05	1.12988e-05	3.25553e-05	-5.63599e-05
DRR001630	15.6466	2.32906	6.1665	-0.843471	-0.53317	-0.137434	1.05556	-1.16262	1.94723	0.540391	0.77143	0.88044	0.211412	0.0574188	0.857245	-0.223351	0.592014	0.711144	-0.533395	0.518811	0.463666	0.331692	-0.118189	-0.479152	-0.536665	-0.225102	-0.350579	0.087462	0.323252	-0.16092	-0.0768551	-0.31871	0.0317024	-0.0638349	-0.240256	0.382349	-0.179069	0.299685	-0.174322	0.0341076	0.246032	0.121116	0.201772	0.270562	-0.237792	0.265122	0.327692	0.026379	0.192188	-0.0844709	-0.000129417	-0.000103544	-9.59821e-06	-5.67362e-06	7.17118e-07	1.66274e-05	2.26926e-05	4.50469e-06	4.3083e-06	2.74172e-05	7.41892e-06	5.74253e-06	2.30074e-05	5.58421e-06	-6.59376e-07	-7.39843e-06	1.81142e-05	-2.05473e-06	8.65757e-06	-1.04659e-05	-2.10479e-06	-1.33924e-06	1.40956e-06	-7.44039e-07	-2.30027e-05	1.16671e-05	-4.4913e-06	-2.83578e-05	-1.08322e-05	-1.0225e-05	7.75815e-06	1.41696e-05	-4.08292e-06	1.63727e-05	1.18837e-05	1.22264e-05	-4.84567e-06	-2.36053e-05	9.32068e-06	3.47128e-05	-1.40388e-05	9.68203e-06	-8.29622e-06	-4.09409e-06	-4.69387e-07	-6.34789e-06	5.94631e-05	3.05027e-05	0.00011621
DRR001633	17.408	0.841622	5.8522	-1.33249	-1.21121	0.0745223	0.143629	-0.17116	1.82727	-0.00560822	0.527627	-0.526008	0.178635	-0.121259	-0.046652	-0.261107	0.116516	0.326662	0.228806	0.399298	-0.0466561	0.476305	-0.131738	0.477954	-0.0477589	-0.555032	-0.356014	-1.20291	1.1386	1.01898	-1.14116	-0.349024	0.158702	-0.647012	0.300398	-0.4114	-0.536598	-0.230793	-0.141542	0.133343	0.0831478	0.0223603	-0.154762	-0.353228	0.201983	-0.0980947	0.125988	0.0908028	0.0868385	-0.00123893	1.9297e-05	3.73237e-05	1.02259e-05	2.08654e-05	-1.2964e-06	-4.72926e-06	5.0962e-06	-7.57922e-06	5.73881e-06	2.97185e-06	4.75347e-06	-2.58908e-06	-2.84985e-06	-5.73695e-07	7.73091e-06	-5.9884e-06	-2.31899e-06	-5.69317e-06	2.48104e-06	1.22027e-06	1.79186e-06	-4.67524e-06	-1.58558e-06	-9.56544e-06	4.67477e-06	-5.54137e-07	-3.0899e-06	-6.61146e-06	5.84126e-06	4.72227e-06	-8.36328e-07	5.62053e-06	2.82191e-06	-2.78279e-06	1.22562e-06	-2.76417e-06	-6.37025e-07	2.4084e-06	-1.42865e-06	-1.24448e-06	-4.08664e-06	-9.42498e-07	-9.90927e-06	-1.59964e-05	1.63838e-05	-2.76864e-05	-2.16365e-05	-8.04514e-05	6.70701e-05
DRR001636	16.0079	1.04217	6.56571	-0.203788	-0.0394865	0.00233346	0.768661	-0.61886	1.66129	-0.202832	0.807702	0.564491	0.493878	-0.29672	1.11069	-0.290616	0.590923	0.195027	-0.639229	-0.0584287	-0.15677	-0.326709	0.448004	-0.0177127	-0.135545	-0.0239359	0.0506434	0.342544	-0.126197	-0.144211	0.0890967	0.288817	0.164037	-0.219512	-0.236445	0.338782	0.0370259	-0.0170093	0.366139	-0.228458	0.0412867	-0.390173	0.00130076	0.0582435	0.187055	0.173558	-0.256654	0.207916	0.214493	0.149074	0.000102192	6.41681e-06	-5.15953e-06	1.95205e-06	2.15378e-05	2.17771e-05	2.27988e-05	-2.56944e-05	-7.70018e-06	-1.20215e-05	-1.36988e-05	-1.23009e-05	-1.23102e-05	-5.31226e-06	3.24333e-06	-2.24049e-05	1.93901e-06	-1.47475e-05	-4.85033e-06	1.78458e-05	-5.6047e-06	-8.85129e-06	8.28598e-06	-6.97287e-06	7.64756e-06	-1.19843e-05	-3.02331e-06	4.13414e-06	7.78586e-07	2.34707e-05	8.17329e-06	8.30856e-06	2.23517e-06	-5.5898e-06	-3.78676e-06	-1.34446e-05	1.7127e-06	1.24276e-05	8.67993e-06	-7.63719e-06	1.2964e-06	-1.34185e-05	2.69748e-05	-2.20612e-05	-1.3046e-05	-3.32594e-05	3.12999e-05	-0.000146627	-0.000172958
